category,question,sub-question,answer,gender,age,group,
1,1,Encouraging,1,female,,women's guild,
1,1,Educative,2,female,,women's guild,
1,2,Relevant,2,female,,women's guild,
1,2,Not Useful,2,female,,women's guild,
1,2,Well Prepared,1,female,,women's guild,
1,2,Boring,2,female,,women's guild,
1,3,Good,1,female,,women's guild,
1,3,Edifying,2,female,,women's guild,
1,4,,3,female,,women's guild,
2,5,,1,female,,women's guild,
2,6,,1,female,,women's guild,
2,7,,1,female,,women's guild,
2,8,,1,female,,women's guild,
2,9,,2,female,,women's guild,
2,10,Widows,3,female,,women's guild,
2,10,Widowers,3,female,,women's guild,
2,10,Retirees,3,female,,women's guild,
2,10,Single Parents,3,female,,women's guild,
2,10,other,3,female,,women's guild,
2,11,,1,female,,women's guild,
2,12,,2,female,,women's guild,
2,13,,2,female,,women's guild,
2,14,Christian education,2,female,,women's guild,
2,14,Health Ministry,2,female,,women's guild,
2,14,Deaf Ministry,1,female,,women's guild,
2,14,Evangelism,1,female,,women's guild,
2,14,Children Ministry,1,female,,women's guild,
2,14,Choir Ministry,2,female,,women's guild,
2,14,Ushering Ministry,1,female,,women's guild,
2,15,,1,female,,women's guild,
2,16,,2,female,,women's guild,
2,17,,,female,,women's guild,
1,1,A blessing,1,female,63,women's guild,
1,1,Encouraging,1,female,63,women's guild,
1,1,Educative,1,female,63,women's guild,
1,2,Relevant,1,female,63,women's guild,
1,2,Not Useful,2,female,63,women's guild,
1,2,Well Prepared,1,female,63,women's guild,
1,2,Boring,2,female,63,women's guild,
1,3,Good,1,female,63,women's guild,
1,3,Edifying,1,female,63,women's guild,
1,4,,2,female,63,women's guild,
2,5,,2,female,63,women's guild,
2,6,,,female,63,women's guild,
2,7,,1,female,63,women's guild,
2,8,,1,female,63,women's guild,
2,9,,1,female,63,women's guild,
2,10,Widows,2,female,63,women's guild,
2,10,Widowers,2,female,63,women's guild,
2,10,Retirees,2,female,63,women's guild,
2,10,Single Parents,2,female,63,women's guild,
2,10,other,2,female,63,women's guild,
2,11,,1,female,63,women's guild,
2,12,,,female,63,women's guild,
2,13,,1,female,63,women's guild,
2,14,Christian education,1,female,63,women's guild,
2,14,Health Ministry,1,female,63,women's guild,
2,14,Deaf Ministry,1,female,63,women's guild,
2,14,Evangelism,1,female,63,women's guild,
2,14,Children Ministry,1,female,63,women's guild,
2,14,Choir Ministry,1,female,63,women's guild,
2,14,Ushering Ministry,1,female,63,women's guild,
2,15,,1,female,63,women's guild,
2,16,,1,female,63,women's guild,
2,17,,,female,63,women's guild,
1,1,A blessing,2,female,49,women's guild,
1,1,Encouraging,1,female,49,women's guild,
1,1,Educative,2,female,49,women's guild,
1,2,Relevant,1,female,49,women's guild,
1,2,Not Useful,2,female,49,women's guild,
1,2,Well Prepared,2,female,49,women's guild,
1,2,Boring,2,female,49,women's guild,
1,3,Good,1,female,49,women's guild,
1,3,Edifying,2,female,49,women's guild,
1,4,,1,female,49,women's guild,
2,5,,1,female,49,women's guild,
2,6,,1,female,49,women's guild,
2,7,,2,female,49,women's guild,
2,8,,1,female,49,women's guild,
2,9,,1,female,49,women's guild,
2,10,Widows,3,female,49,women's guild,
2,10,Widowers,3,female,49,women's guild,
2,10,Retirees,3,female,49,women's guild,
2,10,Single Parents,3,female,49,women's guild,
2,10,other,3,female,49,women's guild,
2,11,,1,female,49,women's guild,
2,12,,1,female,49,women's guild,
2,13,,1,female,49,women's guild,
2,14,Christian education,1,female,49,women's guild,
2,14,Health Ministry,1,female,49,women's guild,
2,14,Deaf Ministry,1,female,49,women's guild,
2,14,Evangelism,1,female,49,women's guild,
2,14,Children Ministry,1,female,49,women's guild,
2,14,Choir Ministry,1,female,49,women's guild,
2,14,Ushering Ministry,1,female,49,women's guild,
2,15,,1,female,49,women's guild,
2,16,,3,female,49,women's guild,
2,17,,,female,49,women's guild,
