category,question,sub-question,answer,gender,group,age
2,5,,1,male,PCMF,25
2,6,,2,male,PCMF,25
2,7,,3,male,PCMF,25
2,8,,3,male,PCMF,25
2,9,,,male,PCMF,25
2,10,Widows,3,male,PCMF,25
2,10,Widowers,3,male,PCMF,25
2,10,Retirees,3,male,PCMF,25
2,10,Single Parents,3,male,PCMF,25
2,10,other,3,male,PCMF,25
2,11,,2,male,PCMF,25
2,12,,1,male,PCMF,25
2,13,,2,male,PCMF,25
2,14,Christian education,2,male,PCMF,25
2,14,Health Ministry,1,male,PCMF,25
2,14,Deaf Ministry,1,male,PCMF,25
2,14,Evangelism,2,male,PCMF,25
2,14,Children Ministry,1,male,PCMF,25
2,14,Choir Ministry,2,male,PCMF,25
2,14,Ushering Ministry,2,male,PCMF,25
2,15,,2,male,PCMF,25
2,16,,2,male,PCMF,25
2,17,,,,PCMF,25
